class,variable,value,period,deal,link,pub_date
A-4,PassThroughDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,PassThroughDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,PassThroughDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,PassThroughDistribution,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,PassThroughDistribution,226764.37,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,TotalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,TotalDistribution,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,TotalDistribution,14957959.56,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,TotalDistribution,122832.75,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,TotalDistribution,45922.92,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,TotalDistribution,40382.67,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,TotalDistribution,36542,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,TotalDistribution,226764.37,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,PrincipalCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,PrincipalCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,PrincipalCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,PrincipalCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,PrincipalCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,PrincipalCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,PrincipalCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,PrincipalCarryoverShortfall,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,InterestCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,InterestCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,InterestCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,InterestCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,InterestCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,InterestCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,InterestCarryoverShortfall,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,InterestCarryoverShortfall,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,EndingNotePrincipalBalance,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,EndingNotePrincipalBalance,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,EndingNotePrincipalBalance,71743964.94,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,EndingNotePrincipalBalance,74070000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,EndingNotePrincipalBalance,23450000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,EndingNotePrincipalBalance,19540000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,EndingNotePrincipalBalance,14520000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,EndingNotePrincipalBalance,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
all,EndingNumberofReceivables,28400,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
all,EndingAggregateReceivablesPrincipalBalance,217839813.2,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
all,EndingAggregateAmountFinanced,217839813.2,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,InitialNotePrincipalBalance,274000000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,InitialNotePrincipalBalance,353000000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,InitialNotePrincipalBalance,353000000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,InitialNotePrincipalBalance,74070000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,InitialNotePrincipalBalance,23450000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,InitialNotePrincipalBalance,19540000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
D,InitialNotePrincipalBalance,14520000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
Certificates,InitialNotePrincipalBalance,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-1,BeginningNotePrincipalBalance,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,BeginningNotePrincipalBalance,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,BeginningNotePrincipalBalance,102546012.16,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,BeginningNotePrincipalBalance,74070000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,BeginningNotePrincipalBalance,23450000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,BeginningNotePrincipalBalance,19540000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
D,BeginningNotePrincipalBalance,14520000,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
Certificates,BeginningNotePrincipalBalance,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-1,NoteRate,0.83,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,NoteRate,1.38,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,NoteRate,1.7,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,NoteRate,1.99,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,NoteRate,2.35,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,NoteRate,2.48,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
D,NoteRate,3.02,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
Certificates,NoteRate,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-1,PrincipalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,PrincipalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,PrincipalDistribution,15966741.63,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,PrincipalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,PrincipalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,PrincipalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
D,PrincipalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
Certificates,PrincipalDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-1,InterestDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,InterestDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,InterestDistribution,145273.52,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,InterestDistribution,122832.75,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,InterestDistribution,45922.92,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,InterestDistribution,40382.67,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
D,InterestDistribution,36542,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
Certificates,InterestDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-1,PassThroughDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,PassThroughDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,PassThroughDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,PassThroughDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,PassThroughDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,PassThroughDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
D,PassThroughDistribution,,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
Certificates,PassThroughDistribution,386813.09,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-1,TotalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,TotalDistribution,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,TotalDistribution,16112015.15,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,TotalDistribution,122832.75,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,TotalDistribution,45922.92,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,TotalDistribution,40382.67,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
D,TotalDistribution,36542,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
Certificates,TotalDistribution,386813.09,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-1,PrincipalCarryoverShortfall,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-2,PrincipalCarryoverShortfall,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-3,PrincipalCarryoverShortfall,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
A-4,PrincipalCarryoverShortfall,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
B,PrincipalCarryoverShortfall,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
C,PrincipalCarryoverShortfall,0,2019-09-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000061/aart2017-1_exx99xseptember.htm,2019-10-28T18:49:50Z
