class,variable,value,period,deal,link,pub_date
Certificates,InterestCarryoverShortfall,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-1,EndingNotePrincipalBalance,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-2,EndingNotePrincipalBalance,0,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-3,EndingNotePrincipalBalance,58565306.87,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-4,EndingNotePrincipalBalance,74070000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
B,EndingNotePrincipalBalance,23450000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
C,EndingNotePrincipalBalance,19540000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
D,EndingNotePrincipalBalance,14520000,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
Certificates,EndingNotePrincipalBalance,,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
all,EndingNumberofReceivables,27554,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
all,EndingAggregateReceivablesPrincipalBalance,204661155.13,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
all,EndingAggregateAmountFinanced,204661155.13,2019-11-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000072/aart2017-1_exx99xnovemberx.htm,2019-12-19T19:48:45Z
A-1,InitialNotePrincipalBalance,274000000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-2,InitialNotePrincipalBalance,353000000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-3,InitialNotePrincipalBalance,353000000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-4,InitialNotePrincipalBalance,74070000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
B,InitialNotePrincipalBalance,23450000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
C,InitialNotePrincipalBalance,19540000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
D,InitialNotePrincipalBalance,14520000,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
Certificates,InitialNotePrincipalBalance,,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
A-1,BeginningNotePrincipalBalance,0,2019-10-01,Ally Auto Receivables Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1477336/000167973119000066/aart2017-1_exx99xoctoberx2.htm,2019-11-26T17:50:59Z
