class,value,variable,period,company,link
B,52493.33,InterestDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
C,62006.67,InterestDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
D,86321.67,InterestDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-1,0,PrincipalDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-2,0,PrincipalDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-3,19918883.84,PrincipalDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-4,0,PrincipalDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
B,0,PrincipalDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
C,0,PrincipalDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
D,0,PrincipalDistribution,2019-08-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000047/a2017-1ex991091619.htm
A-1,0,BeginningNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-2,0,BeginningNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-3,244100766.06,BeginningNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-4,117800000,BeginningNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
B,24800000,BeginningNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
C,26200000,BeginningNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
D,30200000,BeginningNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-1,0,EndingNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-2,0,EndingNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-3,223257740.73,EndingNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-4,117800000,EndingNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
B,24800000,EndingNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
C,26200000,EndingNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
D,30200000,EndingNotePrincipalBalance,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-1,0,InterestDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-2,0,InterestDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-3,402766.26,InterestDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-4,222838.33,InterestDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
B,52493.33,InterestDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
C,62006.67,InterestDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
D,86321.67,InterestDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-1,0,PrincipalDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
A-2,0,PrincipalDistribution,2019-07-01,CarMax Auto Owner Trust 2017-1,https://www.sec.gov/Archives/edgar/data/1693819/000169381919000042/a2017-1ex991081519.htm
